Origin,OriginState,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,hub_total_passengers_all,hub_total_passengers_valid,carriers_at_hub_all,carriers_at_hub_valid,hub_share,hub_HHI,hub_avg_fare_all,hub_min_fare_all
DTW,MI,UA,322806,1639,448.34,651.83,1855787,1855787,5,5,0.1739,2022.0,319.45,206.98
EWR,NJ,AS,370629,54,376.79,1986.94,1870860,1870860,5,5,0.1981,2154.0,216.17,152.97
EWR,NJ,B6,475066,1704,182.31,1952.1,1870860,1870860,5,5,0.2539,2154.0,216.17,152.97
EWR,NJ,DL,391625,1058,152.97,1264.59,1870860,1870860,5,5,0.2093,2154.0,216.17,152.97
EWR,NJ,UA,452321,1680,179.01,531.35,1870860,1870860,5,5,0.2418,2154.0,216.17,152.97
EWR,NJ,WN,181219,821,205.72,923.43,1870860,1870860,5,5,0.0969,2154.0,216.17,152.97
IAH,TX,AS,331661,185,318.41,1885.46,1262834,1262834,4,4,0.2626,2620.0,306.95,259.88
IAH,TX,F9,217821,1019,435.27,646.47,1262834,1262834,4,4,0.1725,2620.0,306.95,259.88
IAH,TX,NK,302047,382,265.92,529.81,1262834,1262834,4,4,0.2392,2620.0,306.95,259.88
IAH,TX,WN,411305,942,259.88,1822.89,1262834,1262834,4,4,0.3257,2620.0,306.95,259.88
JFK,NY,B6,435489,1962,329.4,1163.37,895900,895900,2,2,0.4861,5004.0,389.58,329.4
JFK,NY,UA,460411,728,446.51,508.41,895900,895900,2,2,0.5139,5004.0,389.58,329.4
LAS,NV,AS,140310,1895,351.97,1276.68,1580691,1580691,5,5,0.0888,2220.0,366.78,204.46
LAS,NV,B6,431969,718,409.74,1410.44,1580691,1580691,5,5,0.2733,2220.0,366.78,204.46
LAS,NV,F9,281147,1517,204.46,1491.13,1580691,1580691,5,5,0.1779,2220.0,366.78,204.46
LAS,NV,UA,314214,1266,332.02,846.34,1580691,1580691,5,5,0.1988,2220.0,366.78,204.46
LAS,NV,WN,413051,95,463.81,761.92,1580691,1580691,5,5,0.2613,2220.0,366.78,204.46
LAX,CA,B6,197513,553,350.85,846.84,1289215,1289215,4,4,0.1532,2835.0,207.06,157.25
LAX,CA,F9,448829,1758,196.3,1778.7,1289215,1289215,4,4,0.3481,2835.0,207.06,157.25
LAX,CA,NK,211467,369,197.23,477.35,1289215,1289215,4,4,0.164,2835.0,207.06,157.25
LAX,CA,UA,431406,166,157.25,1207.22,1289215,1289215,4,4,0.3346,2835.0,207.06,157.25
LGA,NY,AA,492521,1180,375.51,1908.13,776057,776057,3,3,0.6346,4699.0,388.59,375.51
LGA,NY,AS,130438,301,401.52,1096.54,776057,776057,3,3,0.1681,4699.0,388.59,375.51
LGA,NY,UA,153098,1236,419.63,1500.36,776057,776057,3,3,0.1973,4699.0,388.59,375.51
MCO,FL,AS,66984,1057,257.8,1178.43,558437,558437,2,2,0.1199,7890.0,458.1,257.8
MCO,FL,UA,491453,880,485.4,1341.48,558437,558437,2,2,0.8801,7890.0,458.1,257.8
MIA,FL,B6,405367,1172,329.89,1466.11,1016423,1016423,4,4,0.3988,3318.0,362.31,278.79
MIA,FL,F9,154383,1249,278.79,1681.96,1016423,1016423,4,4,0.1519,3318.0,362.31,278.79
MIA,FL,NK,387030,364,412.13,1209.52,1016423,1016423,4,4,0.3808,3318.0,362.31,278.79
MIA,FL,UA,69643,937,459.24,1613.59,1016423,1016423,4,4,0.0685,3318.0,362.31,278.79
MSP,MN,AA,354206,1878,350.2,464.69,1419322,1419322,5,5,0.2496,2605.0,309.51,217.29
MSP,MN,B6,488682,850,217.29,671.9,1419322,1419322,5,5,0.3443,2605.0,309.51,217.29
MSP,MN,DL,167407,1243,265.55,462.31,1419322,1419322,5,5,0.1179,2605.0,309.51,217.29
MSP,MN,F9,48172,1732,495.86,1382.98,1419322,1419322,5,5,0.0339,2605.0,309.51,217.29
MSP,MN,UA,360855,781,389.98,1722.81,1419322,1419322,5,5,0.2542,2605.0,309.51,217.29
ORD,IL,AA,261878,1158,387.13,1032.03,1564054,1564054,5,5,0.1674,2407.0,328.86,150.2
ORD,IL,AS,76252,1686,150.2,1137.24,1564054,1564054,5,5,0.0488,2407.0,328.86,150.2
ORD,IL,B6,499553,1232,331.88,1658.22,1564054,1564054,5,5,0.3194,2407.0,328.86,150.2
ORD,IL,DL,385756,1375,291.36,1240.08,1564054,1564054,5,5,0.2466,2407.0,328.86,150.2
ORD,IL,UA,340615,822,362.1,467.64,1564054,1564054,5,5,0.2178,2407.0,328.86,150.2
PHL,PA,AS,82972,170,396.13,458.88,787398,787398,4,4,0.1054,2954.0,427.65,383.19
PHL,PA,B6,224136,1784,432.44,776.2,787398,787398,4,4,0.2847,2954.0,427.65,383.19
PHL,PA,UA,167175,994,383.19,736.88,787398,787398,4,4,0.2123,2954.0,427.65,383.19
PHL,PA,WN,313115,969,456.3,636.29,787398,787398,4,4,0.3977,2954.0,427.65,383.19
PHX,AZ,AS,85351,1085,474.12,1515.81,1223964,1223964,5,5,0.0697,2557.0,322.48,201.79
PHX,AZ,B6,119794,1903,458.26,797.98,1223964,1223964,5,5,0.0979,2557.0,322.48,201.79
PHX,AZ,F9,266553,155,490.47,1986.1,1223964,1223964,5,5,0.2178,2557.0,322.48,201.79
PHX,AZ,NK,437049,1654,201.79,757.8,1223964,1223964,5,5,0.3571,2557.0,322.48,201.79
PHX,AZ,UA,315217,268,255.12,1781.0,1223964,1223964,5,5,0.2575,2557.0,322.48,201.79
SEA,WA,AS,80472,240,199.77,1863.99,1129348,1129348,5,5,0.0713,3015.0,256.83,199.77
SEA,WA,F9,328419,135,284.36,1031.04,1129348,1129348,5,5,0.2908,3015.0,256.83,199.77
SEA,WA,NK,28075,448,256.02,1925.7,1129348,1129348,5,5,0.0249,3015.0,256.83,199.77
SEA,WA,UA,468033,572,203.08,1275.29,1129348,1129348,5,5,0.4144,3015.0,256.83,199.77
SEA,WA,WN,224349,1741,349.25,1068.14,1129348,1129348,5,5,0.1987,3015.0,256.83,199.77
SFO,CA,B6,10796,1506,497.23,633.5,645885,645885,3,3,0.0167,4853.0,294.33,244.36
SFO,CA,DL,335655,876,332.38,438.62,645885,645885,3,3,0.5197,4853.0,294.33,244.36
SFO,CA,F9,299434,497,244.36,439.49,645885,645885,3,3,0.4636,4853.0,294.33,244.36
