Origin,OriginState,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,hub_total_passengers_all,hub_total_passengers_valid,carriers_at_hub_all,carriers_at_hub_valid,hub_share,hub_HHI,hub_avg_fare_all,hub_min_fare_all
LAX,CA,WN,281219,1480,183.79,657.41,912531,912531,5,5,0.3082,2557.0,350.95,183.79
LGA,NY,AS,25247,308,282.24,1659.84,987384,987384,5,5,0.0256,3079.0,436.37,263.26
LGA,NY,B6,434129,1975,470.79,663.74,987384,987384,5,5,0.4397,3079.0,436.37,263.26
LGA,NY,F9,228068,1801,418.84,694.78,987384,987384,5,5,0.231,3079.0,436.37,263.26
LGA,NY,UA,66252,1273,263.26,950.71,987384,987384,5,5,0.0671,3079.0,436.37,263.26
LGA,NY,WN,233688,1959,455.28,619.08,987384,987384,5,5,0.2367,3079.0,436.37,263.26
MCO,FL,AA,177952,1157,318.86,1466.81,1051820,1051820,5,5,0.1692,2980.0,238.52,150.19
MCO,FL,AS,296265,134,216.48,1465.16,1051820,1051820,5,5,0.2817,2980.0,238.52,150.19
MCO,FL,B6,121098,1223,150.19,1803.62,1051820,1051820,5,5,0.1151,2980.0,238.52,150.19
MCO,FL,NK,14478,1144,443.95,686.63,1051820,1051820,5,5,0.0138,2980.0,238.52,150.19
MCO,FL,UA,442027,1627,238.43,1232.13,1051820,1051820,5,5,0.4202,2980.0,238.52,150.19
MIA,FL,AA,431360,1322,243.24,1632.52,1502067,1502067,5,5,0.2872,2803.0,313.14,243.24
MIA,FL,AS,494859,1389,338.38,560.72,1502067,1502067,5,5,0.3295,2803.0,313.14,243.24
MIA,FL,DL,437811,1890,353.7,410.04,1502067,1502067,5,5,0.2915,2803.0,313.14,243.24
MIA,FL,UA,66225,276,311.23,1205.07,1502067,1502067,5,5,0.0441,2803.0,313.14,243.24
MIA,FL,WN,71812,889,313.48,1111.35,1502067,1502067,5,5,0.0478,2803.0,313.14,243.24
MSP,MN,AS,158503,1207,183.98,817.69,263947,263947,2,2,0.6005,5202.0,285.82,183.98
MSP,MN,WN,105444,1411,438.91,1966.0,263947,263947,2,2,0.3995,5202.0,285.82,183.98
ORD,IL,AA,187365,1154,477.69,1596.79,424393,424393,3,3,0.4415,3950.0,323.8,151.35
ORD,IL,F9,181507,1837,217.69,1033.65,424393,424393,3,3,0.4277,3950.0,323.8,151.35
ORD,IL,NK,55521,718,151.35,1410.89,424393,424393,3,3,0.1308,3950.0,323.8,151.35
PHL,PA,AA,147283,566,471.63,884.83,221240,221240,2,2,0.6657,5549.0,434.48,360.51
PHL,PA,DL,73957,855,360.51,1901.03,221240,221240,2,2,0.3343,5549.0,434.48,360.51
PHX,AZ,AA,499783,1551,370.47,730.01,1056912,1056912,3,3,0.4729,3643.0,329.16,234.89
PHX,AZ,B6,247243,1112,234.89,1742.23,1056912,1056912,3,3,0.2339,3643.0,329.16,234.89
PHX,AZ,WN,309886,829,337.75,1253.15,1056912,1056912,3,3,0.2932,3643.0,329.16,234.89
SEA,WA,B6,98425,1516,407.05,426.62,1021263,1021263,4,4,0.0964,3090.0,399.93,392.47
SEA,WA,DL,198273,1143,393.58,1715.16,1021263,1021263,4,4,0.1941,3090.0,399.93,392.47
SEA,WA,F9,435916,821,406.16,1522.39,1021263,1021263,4,4,0.4268,3090.0,399.93,392.47
SEA,WA,NK,288649,1068,392.47,959.91,1021263,1021263,4,4,0.2826,3090.0,399.93,392.47
SFO,CA,F9,376325,1484,478.26,1578.05,391697,391697,2,2,0.9608,9247.0,470.96,292.12
SFO,CA,UA,15372,1059,292.12,1833.04,391697,391697,2,2,0.0392,9247.0,470.96,292.12
