Origin,OriginState,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,hub_total_passengers_all,hub_total_passengers_valid,carriers_at_hub_all,carriers_at_hub_valid,hub_share,hub_HHI,hub_avg_fare_all,hub_min_fare_all
DTW,MI,DL,153091,208,241.7,689.0,417217,417217,2,2,0.3669,5354.0,370.79,241.7
DTW,MI,F9,264126,475,445.62,1860.35,417217,417217,2,2,0.6331,5354.0,370.79,241.7
EWR,NJ,AA,11049,106,370.11,1349.26,340111,340111,2,2,0.0325,9371.0,396.76,370.11
EWR,NJ,WN,329062,211,397.65,1872.95,340111,340111,2,2,0.9675,9371.0,396.76,370.11
IAH,TX,B6,7179,81,465.07,1063.29,397369,397369,4,4,0.0181,5451.0,438.06,203.68
IAH,TX,DL,94344,545,485.71,1988.53,397369,397369,4,4,0.2374,5451.0,438.06,203.68
IAH,TX,UA,18760,1722,203.68,999.05,397369,397369,4,4,0.0472,5451.0,438.06,203.68
IAH,TX,WN,277086,736,437.01,1359.91,397369,397369,4,4,0.6973,5451.0,438.06,203.68
JFK,NY,AS,188121,1146,479.68,1170.6,801226,801226,5,5,0.2348,3242.0,445.86,346.32
JFK,NY,B6,45794,346,402.95,1325.58,801226,801226,5,5,0.0572,3242.0,445.86,346.32
JFK,NY,DL,10206,456,346.32,1830.05,801226,801226,5,5,0.0127,3242.0,445.86,346.32
JFK,NY,NK,366145,944,424.35,1944.94,801226,801226,5,5,0.457,3242.0,445.86,346.32
JFK,NY,UA,190960,1735,469.41,1312.51,801226,801226,5,5,0.2383,3242.0,445.86,346.32
LAS,NV,AS,398186,254,413.1,1883.57,411798,411798,2,2,0.9669,9360.0,411.53,365.69
LAS,NV,DL,13612,1066,365.69,1058.05,411798,411798,2,2,0.0331,9360.0,411.53,365.69
LAX,CA,F9,250623,1002,374.87,1840.2,713934,713934,2,2,0.351,5444.0,333.94,311.8
LAX,CA,WN,463311,1004,311.8,549.6,713934,713934,2,2,0.649,5444.0,333.94,311.8
LGA,NY,AA,106106,1110,362.14,1257.53,710101,710101,5,5,0.1494,2494.0,337.62,179.2
LGA,NY,B6,65182,333,464.5,447.2,710101,710101,5,5,0.0918,2494.0,337.62,179.2
LGA,NY,DL,273301,797,416.34,746.09,710101,710101,5,5,0.3849,2494.0,337.62,179.2
LGA,NY,F9,145294,238,245.78,718.78,710101,710101,5,5,0.2046,2494.0,337.62,179.2
LGA,NY,UA,120218,309,179.2,1506.56,710101,710101,5,5,0.1693,2494.0,337.62,179.2
MCO,FL,AA,446990,1764,416.76,1866.66,1571620,1571620,6,6,0.2844,1928.0,270.69,191.43
MCO,FL,B6,234324,308,230.84,1536.04,1571620,1571620,6,6,0.1491,1928.0,270.69,191.43
MCO,FL,DL,96077,374,291.09,909.0,1571620,1571620,6,6,0.0611,1928.0,270.69,191.43
MCO,FL,NK,229973,1541,195.1,1418.04,1571620,1571620,6,6,0.1463,1928.0,270.69,191.43
MCO,FL,UA,294881,240,205.67,915.85,1571620,1571620,6,6,0.1876,1928.0,270.69,191.43
MCO,FL,WN,269375,852,191.43,1323.09,1571620,1571620,6,6,0.1714,1928.0,270.69,191.43
MIA,FL,AA,395965,1168,492.66,1072.28,806965,806965,2,2,0.4907,5002.0,347.75,208.14
MIA,FL,DL,411000,762,208.14,1004.09,806965,806965,2,2,0.5093,5002.0,347.75,208.14
MSP,MN,AA,475763,1771,227.61,710.13,2309062,2309062,6,6,0.206,1840.0,254.45,186.2
MSP,MN,AS,133583,824,404.21,1691.36,2309062,2309062,6,6,0.0579,1840.0,254.45,186.2
MSP,MN,DL,408907,219,241.17,482.8,2309062,2309062,6,6,0.1771,1840.0,254.45,186.2
MSP,MN,NK,336088,1386,422.16,698.49,2309062,2309062,6,6,0.1456,1840.0,254.45,186.2
MSP,MN,UA,459525,1270,186.2,1134.6,2309062,2309062,6,6,0.199,1840.0,254.45,186.2
MSP,MN,WN,495196,1236,200.32,437.03,2309062,2309062,6,6,0.2145,1840.0,254.45,186.2
ORD,IL,DL,388662,862,187.92,1935.28,796428,796428,2,2,0.488,5003.0,246.12,187.92
ORD,IL,F9,407766,182,301.59,1042.43,796428,796428,2,2,0.512,5003.0,246.12,187.92
PHL,PA,AA,241390,70,432.99,687.69,1658549,1658549,5,5,0.1455,2222.0,282.72,161.01
PHL,PA,AS,453166,760,161.01,1961.47,1658549,1658549,5,5,0.2732,2222.0,282.72,161.01
PHL,PA,DL,260075,1457,485.73,522.1,1658549,1658549,5,5,0.1568,2222.0,282.72,161.01
PHL,PA,NK,478766,1292,212.54,1307.67,1658549,1658549,5,5,0.2887,2222.0,282.72,161.01
PHL,PA,WN,225152,1910,281.34,901.74,1658549,1658549,5,5,0.1358,2222.0,282.72,161.01
PHX,AZ,AA,121852,284,421.91,1282.54,1491256,1491256,5,5,0.0817,2559.0,384.61,281.13
PHX,AZ,AS,107529,768,449.72,1920.88,1491256,1491256,5,5,0.0721,2559.0,384.61,281.13
PHX,AZ,DL,497629,630,281.13,758.3,1491256,1491256,5,5,0.3337,2559.0,384.61,281.13
PHX,AZ,UA,421154,1730,469.91,1060.7,1491256,1491256,5,5,0.2824,2559.0,384.61,281.13
PHX,AZ,WN,343092,65,396.34,1585.84,1491256,1491256,5,5,0.2301,2559.0,384.61,281.13
SEA,WA,AS,475105,305,257.44,1710.48,859282,859282,3,3,0.5529,4930.0,286.85,257.44
SEA,WA,B6,371643,897,324.7,1998.48,859282,859282,3,3,0.4325,4930.0,286.85,257.44
SEA,WA,WN,12534,668,279.59,982.07,859282,859282,3,3,0.0146,4930.0,286.85,257.44
SFO,CA,AA,420244,1116,489.49,1050.22,1752973,1752973,4,4,0.2397,2521.0,257.64,151.29
SFO,CA,AS,494590,282,201.62,1782.88,1752973,1752973,4,4,0.2821,2521.0,257.64,151.29
SFO,CA,DL,383685,1754,151.29,1120.89,1752973,1752973,4,4,0.2189,2521.0,257.64,151.29
SFO,CA,WN,454454,1234,194.0,1118.93,1752973,1752973,4,4,0.2592,2521.0,257.64,151.29
