Origin,OriginState,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,hub_total_passengers_all,hub_total_passengers_valid,carriers_at_hub_all,carriers_at_hub_valid,hub_share,hub_HHI,hub_avg_fare_all,hub_min_fare_all
MCO,FL,NK,307285,1412,275.29,1133.95,1622062,1622062,6,6,0.1894,1701.0,299.28,183.99
MCO,FL,UA,297626,1357,295.31,568.82,1622062,1622062,6,6,0.1835,1701.0,299.28,183.99
MCO,FL,WN,228910,419,458.99,666.89,1622062,1622062,6,6,0.1411,1701.0,299.28,183.99
MIA,FL,AA,102846,1009,340.27,917.89,1104884,1104884,4,4,0.0931,3252.0,244.93,163.82
MIA,FL,AS,476158,1194,163.82,1530.6,1104884,1104884,4,4,0.431,3252.0,244.93,163.82
MIA,FL,DL,159515,1210,339.96,1184.15,1104884,1104884,4,4,0.1444,3252.0,244.93,163.82
MIA,FL,F9,366365,563,282.22,1559.04,1104884,1104884,4,4,0.3316,3252.0,244.93,163.82
MSP,MN,AA,121332,1630,225.19,903.85,1143379,1143379,6,6,0.1061,2460.0,348.83,183.0
MSP,MN,AS,127156,1218,239.69,880.48,1143379,1143379,6,6,0.1112,2460.0,348.83,183.0
MSP,MN,B6,435933,1932,480.17,1715.74,1143379,1143379,6,6,0.3813,2460.0,348.83,183.0
MSP,MN,DL,295278,1220,328.95,1313.07,1143379,1143379,6,6,0.2583,2460.0,348.83,183.0
MSP,MN,F9,77565,561,242.75,1823.4,1143379,1143379,6,6,0.0678,2460.0,348.83,183.0
MSP,MN,UA,86115,369,183.0,1136.59,1143379,1143379,6,6,0.0753,2460.0,348.83,183.0
ORD,IL,AS,205056,1623,439.89,595.14,696771,696771,5,5,0.2943,2371.0,367.83,217.27
ORD,IL,F9,144724,1012,421.48,514.22,696771,696771,5,5,0.2077,2371.0,367.83,217.27
ORD,IL,NK,100212,1723,217.27,1746.46,696771,696771,5,5,0.1438,2371.0,367.83,217.27
ORD,IL,UA,47060,164,445.24,1922.63,696771,696771,5,5,0.0675,2371.0,367.83,217.27
ORD,IL,WN,199719,726,312.29,1666.28,696771,696771,5,5,0.2866,2371.0,367.83,217.27
PHL,PA,AS,412591,1123,371.27,486.6,759835,759835,2,2,0.543,5037.0,406.02,371.27
PHL,PA,WN,347244,1348,447.32,1885.85,759835,759835,2,2,0.457,5037.0,406.02,371.27
PHX,AZ,AA,332140,800,395.46,809.5,794324,794324,3,3,0.4181,3827.0,410.69,362.08
PHX,AZ,B6,120722,1955,362.08,513.4,794324,794324,3,3,0.152,3827.0,410.69,362.08
PHX,AZ,DL,341462,1126,442.7,1452.67,794324,794324,3,3,0.4299,3827.0,410.69,362.08
SEA,WA,AA,243068,826,150.25,1420.84,1069201,1069201,4,4,0.2273,2686.0,246.77,150.25
SEA,WA,B6,389647,1804,214.94,429.95,1069201,1069201,4,4,0.3644,2686.0,246.77,150.25
SEA,WA,DL,195880,1526,421.61,782.06,1069201,1069201,4,4,0.1832,2686.0,246.77,150.25
SEA,WA,UA,240606,801,253.49,821.36,1069201,1069201,4,4,0.225,2686.0,246.77,150.25
SFO,CA,AS,85697,307,395.46,1666.35,346467,346467,2,2,0.2473,6277.0,272.01,231.44
SFO,CA,F9,260770,1664,231.44,1970.68,346467,346467,2,2,0.7527,6277.0,272.01,231.44
