Origin,Dest,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,route_total_passengers_all,route_total_passengers_valid,carriers_on_route_all,carriers_on_route_valid,route_share,route_HHI,route_avg_fare_all,route_min_fare_all
CLT,BOS,B6,21052,57,307.89,2597.88,200283,200283,4,4,0.1051,3542.0,317.0,300.57
CLT,BOS,F9,93476,486,300.57,2597.88,200283,200283,4,4,0.4667,3542.0,317.0,300.57
CLT,BOS,UA,16901,215,385.42,2597.88,200283,200283,4,4,0.0844,3542.0,317.0,300.57
CLT,DEN,F9,108163,52,197.6,1346.65,178625,178625,2,2,0.6055,5223.0,208.78,197.6
CLT,DEN,WN,70462,284,225.94,1346.65,178625,178625,2,2,0.3945,5223.0,208.78,197.6
CLT,DFW,NK,79371,180,230.22,1262.54,135423,135423,2,2,0.5861,5148.0,217.79,200.19
CLT,DFW,UA,56052,221,200.19,1262.54,135423,135423,2,2,0.4139,5148.0,217.79,200.19
CLT,DTW,AS,105014,54,128.11,487.5,408368,408368,4,4,0.2572,2533.0,112.61,86.88
CLT,DTW,B6,114592,454,102.72,487.5,408368,408368,4,4,0.2806,2533.0,112.61,86.88
CLT,DTW,DL,105977,402,86.88,487.5,408368,408368,4,4,0.2595,2533.0,112.61,86.88
CLT,DTW,WN,82785,59,139.57,487.5,408368,408368,4,4,0.2027,2533.0,112.61,86.88
CLT,EWR,AA,30852,423,326.09,1492.38,298559,298559,5,5,0.1033,2687.0,270.22,222.25
CLT,EWR,B6,89940,463,270.79,1492.38,298559,298559,5,5,0.3012,2687.0,270.22,222.25
CLT,EWR,DL,5403,87,248.09,1492.38,298559,298559,5,5,0.0181,2687.0,270.22,222.25
CLT,EWR,F9,82544,377,222.25,1492.38,298559,298559,5,5,0.2765,2687.0,270.22,222.25
CLT,EWR,WN,89820,403,295.87,1492.38,298559,298559,5,5,0.3008,2687.0,270.22,222.25
CLT,IAH,AA,6487,57,286.42,2741.66,80877,80877,2,2,0.0802,8525.0,436.43,286.42
CLT,IAH,B6,74390,257,449.51,2741.66,80877,80877,2,2,0.9198,8525.0,436.43,286.42
CLT,JFK,AA,102558,160,157.45,887.98,339901,339901,5,5,0.3017,2552.0,140.02,105.26
CLT,JFK,B6,62618,481,166.47,887.98,339901,339901,5,5,0.1842,2552.0,140.02,105.26
CLT,JFK,DL,47798,453,159.38,887.98,339901,339901,5,5,0.1406,2552.0,140.02,105.26
CLT,JFK,F9,14938,188,108.02,887.98,339901,339901,5,5,0.0439,2552.0,140.02,105.26
CLT,JFK,NK,111989,295,105.26,887.98,339901,339901,5,5,0.3295,2552.0,140.02,105.26
CLT,LAS,AA,41550,217,341.15,2341.4,292995,292995,5,5,0.1418,2980.0,303.7,283.19
CLT,LAS,DL,108929,37,299.93,2341.4,292995,292995,5,5,0.3718,2980.0,303.7,283.19
CLT,LAS,F9,10698,408,297.24,2341.4,292995,292995,5,5,0.0365,2980.0,303.7,283.19
CLT,LAS,NK,26023,63,283.19,2341.4,292995,292995,5,5,0.0888,2980.0,303.7,283.19
CLT,LAS,WN,105795,227,298.57,2341.4,292995,292995,5,5,0.3611,2980.0,303.7,283.19
CLT,LAX,AA,104944,254,428.1,2454.28,227258,227258,3,3,0.4618,4241.0,411.41,357.22
CLT,LAX,DL,102445,173,404.82,2454.28,227258,227258,3,3,0.4508,4241.0,411.41,357.22
CLT,LAX,NK,19869,379,357.22,2454.28,227258,227258,3,3,0.0874,4241.0,411.41,357.22
CLT,LGA,B6,81723,76,276.35,1520.65,119791,119791,2,2,0.6822,5664.0,258.34,219.67
CLT,LGA,DL,38068,448,219.67,1520.65,119791,119791,2,2,0.3178,5664.0,258.34,219.67
CLT,MCO,AA,41718,381,397.15,2696.85,177790,177790,3,3,0.2346,3755.0,351.81,286.63
CLT,MCO,NK,88932,218,286.63,2696.85,177790,177790,3,3,0.5002,3755.0,351.81,286.63
CLT,MCO,UA,47140,369,434.64,2696.85,177790,177790,3,3,0.2651,3755.0,351.81,286.63
CLT,MIA,AA,39757,379,127.07,667.22,301492,301492,5,5,0.1319,2766.0,127.28,102.94
CLT,MIA,B6,100824,390,109.41,667.22,301492,301492,5,5,0.3344,2766.0,127.28,102.94
CLT,MIA,DL,32618,301,102.94,667.22,301492,301492,5,5,0.1082,2766.0,127.28,102.94
CLT,MIA,F9,18864,367,144.13,667.22,301492,301492,5,5,0.0626,2766.0,127.28,102.94
CLT,MIA,WN,109429,86,148.16,667.22,301492,301492,5,5,0.363,2766.0,127.28,102.94
CLT,MSP,AS,47727,491,315.97,2263.38,104706,104706,2,2,0.4558,5039.0,270.85,233.06
CLT,MSP,WN,56979,374,233.06,2263.38,104706,104706,2,2,0.5442,5039.0,270.85,233.06
CLT,ORD,DL,37000,175,255.92,1744.61,37000,37000,1,1,1.0,10000.0,255.92,255.92
CLT,PHL,DL,37215,190,328.32,2635.14,185146,185146,4,4,0.201,3802.0,318.89,252.09
CLT,PHL,F9,34057,236,356.47,2635.14,185146,185146,4,4,0.1839,3802.0,318.89,252.09
CLT,PHL,UA,101679,252,310.86,2635.14,185146,185146,4,4,0.5492,3802.0,318.89,252.09
CLT,PHL,WN,12195,373,252.09,2635.14,185146,185146,4,4,0.0659,3802.0,318.89,252.09
CLT,PHX,AA,28275,397,135.35,706.9,174949,174949,3,3,0.1616,5182.0,123.59,117.6
CLT,PHX,DL,119734,292,117.6,706.9,174949,174949,3,3,0.6844,5182.0,123.59,117.6
CLT,PHX,UA,26940,26,137.89,706.9,174949,174949,3,3,0.154,5182.0,123.59,117.6
CLT,SEA,AS,66467,212,228.18,2038.12,92108,92108,3,3,0.7216,5750.0,228.16,215.17
CLT,SEA,F9,20932,338,215.17,2038.12,92108,92108,3,3,0.2273,5750.0,228.16,215.17
CLT,SEA,NK,4709,98,285.7,2038.12,92108,92108,3,3,0.0511,5750.0,228.16,215.17
CLT,SFO,B6,96586,227,167.57,906.24,245322,245322,4,4,0.3937,3360.0,196.6,167.57
CLT,SFO,NK,91697,203,237.38,906.24,245322,245322,4,4,0.3738,3360.0,196.6,167.57
CLT,SFO,UA,7822,70,241.82,906.24,245322,245322,4,4,0.0319,3360.0,196.6,167.57
CLT,SFO,WN,49217,64,170.43,906.24,245322,245322,4,4,0.2006,3360.0,196.6,167.57
DEN,ATL,AS,62263,326,361.54,2612.04,112481,112481,5,5,0.5535,3669.0,325.6,232.79
DEN,ATL,B6,6503,342,265.72,2612.04,112481,112481,5,5,0.0578,3669.0,325.6,232.79
DEN,ATL,DL,17609,333,232.79,2612.04,112481,112481,5,5,0.1566,3669.0,325.6,232.79
DEN,ATL,F9,19058,19,301.22,2612.04,112481,112481,5,5,0.1694,3669.0,325.6,232.79
DEN,ATL,NK,7048,430,361.18,2612.04,112481,112481,5,5,0.0627,3669.0,325.6,232.79
DEN,BOS,AA,62682,91,201.66,784.3,152998,152998,2,2,0.4097,5163.0,221.31,201.66
DEN,BOS,B6,90316,476,234.95,784.3,152998,152998,2,2,0.5903,5163.0,221.31,201.66
DEN,CLT,AA,82657,334,203.39,762.36,303551,303551,5,5,0.2723,2624.0,194.49,160.87
DEN,CLT,AS,99182,494,184.22,762.36,303551,303551,5,5,0.3267,2624.0,194.49,160.87
DEN,CLT,DL,70088,228,160.87,762.36,303551,303551,5,5,0.2309,2624.0,194.49,160.87
DEN,CLT,NK,50946,180,245.67,762.36,303551,303551,5,5,0.1678,2624.0,194.49,160.87
DEN,CLT,WN,678,46,242.41,762.36,303551,303551,5,5,0.0022,2624.0,194.49,160.87
DEN,DFW,AA,23234,71,337.17,2739.63,70182,70182,3,3,0.3311,3434.0,366.8,334.74
DEN,DFW,NK,18500,416,334.74,2739.63,70182,70182,3,3,0.2636,3434.0,366.8,334.74
DEN,DFW,UA,28448,313,411.85,2739.63,70182,70182,3,3,0.4053,3434.0,366.8,334.74
DEN,DTW,B6,1165,32,333.86,2529.56,26940,26940,3,3,0.0432,5999.0,415.12,333.86
DEN,DTW,DL,5750,385,428.75,2529.56,26940,26940,3,3,0.2134,5999.0,415.12,333.86
DEN,DTW,NK,20025,469,415.93,2529.56,26940,26940,3,3,0.7433,5999.0,415.12,333.86
DEN,EWR,F9,45533,161,177.97,1446.45,45533,45533,1,1,1.0,10000.0,177.97,177.97
DEN,IAH,AA,62233,37,173.94,1115.33,209152,209152,3,3,0.2975,3610.0,173.36,160.21
DEN,IAH,NK,49721,47,198.32,1115.33,209152,209152,3,3,0.2377,3610.0,173.36,160.21
DEN,IAH,WN,97198,112,160.21,1115.33,209152,209152,3,3,0.4647,3610.0,173.36,160.21
DEN,JFK,NK,76782,61,121.5,720.13,203093,203093,3,3,0.3781,4180.0,155.35,121.5
DEN,JFK,UA,22127,483,150.97,720.13,203093,203093,3,3,0.109,4180.0,155.35,121.5
DEN,JFK,WN,104184,323,181.23,720.13,203093,203093,3,3,0.513,4180.0,155.35,121.5
DEN,LAS,AA,57473,325,229.34,1912.15,57473,57473,1,1,1.0,10000.0,229.34,229.34
DEN,LAX,F9,8883,64,350.23,1828.06,8883,8883,1,1,1.0,10000.0,350.23,350.23
DEN,LGA,F9,60699,392,297.53,1972.59,60699,60699,1,1,1.0,10000.0,297.53,297.53
DEN,MCO,B6,44525,364,130.13,745.15,227558,227558,4,4,0.1957,2612.0,153.66,125.04
DEN,MCO,DL,47501,113,194.04,745.15,227558,227558,4,4,0.2087,2612.0,153.66,125.04
DEN,MCO,UA,60496,333,174.77,745.15,227558,227558,4,4,0.2658,2612.0,153.66,125.04
DEN,MCO,WN,75036,79,125.04,745.15,227558,227558,4,4,0.3297,2612.0,153.66,125.04
DEN,MIA,DL,82707,164,416.16,2645.22,154159,154159,3,3,0.5365,4725.0,399.02,376.68
DEN,MIA,F9,5431,377,376.68,2645.22,154159,154159,3,3,0.0352,4725.0,399.02,376.68
DEN,MIA,WN,66021,55,379.39,2645.22,154159,154159,3,3,0.4283,4725.0,399.02,376.68
DEN,MSP,AS,78039,246,266.26,1745.3,311618,311618,5,5,0.2504,2323.0,270.76,207.32
DEN,MSP,B6,37091,229,207.32,1745.3,311618,311618,5,5,0.119,2323.0,270.76,207.32
DEN,MSP,DL,96992,136,317.51,1745.3,311618,311618,5,5,0.3113,2323.0,270.76,207.32
DEN,MSP,NK,68889,120,268.28,1745.3,311618,311618,5,5,0.2211,2323.0,270.76,207.32
DEN,MSP,UA,30607,448,216.56,1745.3,311618,311618,5,5,0.0982,2323.0,270.76,207.32
DEN,ORD,F9,8771,228,320.12,1787.44,8771,8771,1,1,1.0,10000.0,320.12,320.12
DEN,PHL,AA,13344,133,330.33,2324.29,176995,176995,5,5,0.0754,3356.0,351.82,278.87
DEN,PHL,AS,31834,56,361.74,2324.29,176995,176995,5,5,0.1799,3356.0,351.82,278.87
DEN,PHL,B6,91353,496,375.28,2324.29,176995,176995,5,5,0.5161,3356.0,351.82,278.87
DEN,PHL,NK,29074,161,278.87,2324.29,176995,176995,5,5,0.1643,3356.0,351.82,278.87
DEN,PHL,WN,11390,16,347.39,2324.29,176995,176995,5,5,0.0644,3356.0,351.82,278.87
DEN,PHX,AA,103456,273,245.11,2612.15,257448,257448,4,4,0.4019,3297.0,278.44,245.11
DEN,PHX,AS,95055,306,307.67,2612.15,257448,257448,4,4,0.3692,3297.0,278.44,245.11
DEN,PHX,F9,15712,130,251.4,2612.15,257448,257448,4,4,0.061,3297.0,278.44,245.11
DEN,PHX,NK,43225,392,303.79,2612.15,257448,257448,4,4,0.1679,3297.0,278.44,245.11
DEN,SEA,AA,47935,286,173.12,889.1,184953,184953,3,3,0.2592,3417.0,159.76,127.89
DEN,SEA,B6,67024,404,127.89,889.1,184953,184953,3,3,0.3624,3417.0,159.76,127.89
DEN,SEA,NK,69994,326,181.14,889.1,184953,184953,3,3,0.3784,3417.0,159.76,127.89
DEN,SFO,AA,116749,365,89.08,315.87,326509,326509,4,4,0.3576,3135.0,95.58,81.66
DEN,SFO,NK,91248,83,81.66,315.87,326509,326509,4,4,0.2795,3135.0,95.58,81.66
DEN,SFO,UA,12183,313,109.08,315.87,326509,326509,4,4,0.0373,3135.0,95.58,81.66
DEN,SFO,WN,106329,253,113.12,315.87,326509,326509,4,4,0.3257,3135.0,95.58,81.66
DFW,ATL,B6,70627,250,352.33,1832.6,70627,70627,1,1,1.0,10000.0,352.33,352.33
DFW,BOS,AS,3606,39,289.37,1669.03,223004,223004,5,5,0.0162,3434.0,236.01,217.47
DFW,BOS,B6,13305,360,277.1,1669.03,223004,223004,5,5,0.0597,3434.0,236.01,217.47
DFW,BOS,DL,37632,27,241.45,1669.03,223004,223004,5,5,0.1688,3434.0,236.01,217.47
DFW,BOS,UA,58950,381,254.44,1669.03,223004,223004,5,5,0.2643,3434.0,236.01,217.47
DFW,BOS,WN,109511,220,217.47,1669.03,223004,223004,5,5,0.4911,3434.0,236.01,217.47
DFW,CLT,AS,6111,118,160.95,440.14,6111,6111,1,1,1.0,10000.0,160.95,160.95
DFW,DEN,DL,97357,238,258.09,1809.55,97357,97357,1,1,1.0,10000.0,258.09,258.09
DFW,DTW,AS,11045,399,346.37,1636.57,11045,11045,1,1,1.0,10000.0,346.37,346.37
DFW,EWR,AA,20371,473,193.35,672.14,77622,77622,3,3,0.2624,5190.0,186.1,182.8
DFW,EWR,F9,5459,146,190.37,672.14,77622,77622,3,3,0.0703,5190.0,186.1,182.8
DFW,EWR,WN,51792,273,182.8,672.14,77622,77622,3,3,0.6672,5190.0,186.1,182.8
DFW,IAH,AA,101256,324,275.45,1529.3,246743,246743,3,3,0.4104,3442.0,262.21,231.67
DFW,IAH,UA,80493,340,270.21,1529.3,246743,246743,3,3,0.3262,3442.0,262.21,231.67
DFW,IAH,WN,64994,286,231.67,1529.3,246743,246743,3,3,0.2634,3442.0,262.21,231.67
DFW,JFK,AS,108204,263,128.42,890.49,189391,189391,3,3,0.5713,4652.0,151.1,128.42
DFW,JFK,F9,11562,314,187.95,890.49,189391,189391,3,3,0.061,4652.0,151.1,128.42
