Origin,Dest,Carrier,avg_fare_weighted,avg_distance_weighted,total_passengers,row_count
ATL,PHL,F9,341.48,1601.29,73059,381
ATL,PHL,AA,255.27,1601.29,100322,329
ATL,PHL,B6,214.73,1601.29,106777,437
ATL,LGA,WN,246.09,2355.41,113045,490
ATL,LGA,UA,326.58,2355.41,39848,80
ATL,LGA,B6,267.96,2355.41,91713,204
ATL,CLT,B6,350.05,2424.34,70094,265
ATL,CLT,UA,416.87,2424.34,40920,218
LAX,ATL,AA,277.05,2753.13,93797,80
LAX,ORD,DL,248.18,2220.0,16717,118
LAX,ORD,UA,334.19,2220.0,76813,128
LAX,ORD,AA,261.26,2220.0,6932,440
LAX,ORD,AS,299.36,2220.0,100197,287
LAX,ORD,NK,233.85,2220.0,113123,374
LAX,DFW,B6,330.91,2538.31,5839,459
LAX,DFW,F9,293.01,2538.31,55572,180
LAX,DFW,AS,405.19,2538.31,35764,80
LAX,DFW,UA,293.25,2538.31,9510,493
LAX,DFW,AA,277.62,2538.31,77610,466
LAX,DEN,AA,282.83,1654.91,77944,468
LAX,DEN,WN,205.75,1654.91,104585,181
LAX,DEN,UA,198.8,1654.91,22569,480
LAX,DEN,NK,256.21,1654.91,75081,63
LAX,JFK,F9,221.95,846.04,22699,430
LAX,SFO,WN,243.5,1741.73,110841,290
LAX,SFO,F9,226.04,1741.73,31683,118
LAX,SFO,AA,308.8,1741.73,80880,108
LAX,SFO,B6,289.85,1741.73,108637,186
LAX,SFO,UA,273.06,1741.73,18353,312
LAX,MIA,B6,260.49,2440.35,55579,319
LAX,MIA,UA,224.88,2440.35,65731,68
LAX,MIA,DL,307.63,2440.35,53655,392
LAX,MIA,F9,321.76,2440.35,33652,305
LAX,SEA,DL,255.88,921.95,30758,391
LAX,SEA,AS,229.6,921.95,6603,360
LAX,BOS,UA,226.63,1736.44,94509,366
LAX,BOS,DL,266.72,1736.44,2303,184
LAX,BOS,F9,271.18,1736.44,27544,85
LAX,BOS,AA,297.79,1736.44,95437,73
LAX,LAS,AS,324.33,1948.8,58618,449
LAX,LAS,WN,250.21,1948.8,83737,209
LAX,LAS,NK,256.24,1948.8,46791,350
LAX,PHX,F9,264.45,2672.86,33544,247
LAX,PHX,WN,274.07,2672.86,21288,465
LAX,IAH,F9,264.64,1610.7,14972,82
LAX,MCO,B6,311.59,2222.63,100459,310
LAX,MCO,DL,285.0,2222.63,60062,339
LAX,MCO,WN,299.85,2222.63,29901,362
LAX,EWR,F9,115.24,701.15,119094,409
LAX,EWR,WN,149.26,701.15,31226,206
LAX,EWR,UA,171.94,701.15,29188,292
LAX,MSP,UA,271.64,2024.77,86783,168
LAX,MSP,AA,257.17,2024.77,98332,42
LAX,MSP,F9,328.2,2024.77,74838,64
LAX,MSP,AS,320.71,2024.77,32117,139
LAX,MSP,B6,236.71,2024.77,106630,500
LAX,DTW,UA,128.57,672.74,101227,293
LAX,DTW,AS,121.74,672.74,55514,10
LAX,DTW,WN,100.71,672.74,63548,65
LAX,DTW,B6,107.05,672.74,96525,401
LAX,DTW,AA,103.95,672.74,56185,421
LAX,PHL,WN,339.94,1974.59,74583,59
LAX,PHL,AS,325.46,1974.59,50297,110
LAX,PHL,F9,289.81,1974.59,117187,33
LAX,LGA,AS,308.43,1631.21,56968,18
LAX,LGA,WN,202.15,1631.21,90904,299
LAX,LGA,DL,209.48,1631.21,117930,220
LAX,CLT,WN,192.55,1467.71,97311,358
ORD,ATL,F9,108.69,846.18,34114,310
ORD,ATL,AS,116.01,846.18,54126,153
ORD,ATL,DL,147.59,846.18,84781,240
ORD,ATL,NK,122.0,846.18,117560,184
ORD,ATL,B6,149.15,846.18,31525,57
ORD,LAX,WN,330.88,2022.49,86653,383
ORD,LAX,AA,354.58,2022.49,1333,260
ORD,LAX,F9,363.85,2022.49,107594,417
ORD,DFW,AS,233.12,1757.2,36894,366
ORD,DFW,AA,369.27,1757.2,46238,395
ORD,DFW,NK,314.15,1757.2,59791,94
ORD,DFW,B6,340.76,1757.2,4025,331
ORD,DEN,AA,330.16,2355.79,6425,110
ORD,DEN,AS,256.07,2355.79,108932,77
ORD,DEN,UA,291.71,2355.79,39166,348
ORD,DEN,DL,258.42,2355.79,59412,78
ORD,DEN,B6,243.17,2355.79,4627,477
ORD,JFK,AS,361.0,2191.47,109911,88
ORD,JFK,F9,262.57,2191.47,90666,471
ORD,SFO,F9,99.78,319.06,70365,441
ORD,SFO,WN,113.57,319.06,117534,53
ORD,MIA,WN,139.53,684.35,30549,95
ORD,MIA,AA,140.38,684.35,35383,375
ORD,SEA,AS,401.81,2684.05,80578,237
ORD,SEA,WN,315.91,2684.05,37092,320
ORD,SEA,DL,416.58,2684.05,28568,418
ORD,SEA,B6,401.64,2684.05,101662,110
ORD,SEA,F9,312.58,2684.05,53691,405
ORD,BOS,F9,320.42,2552.08,92285,448
ORD,BOS,AA,324.4,2552.08,15332,212
ORD,BOS,B6,337.86,2552.08,119688,374
ORD,BOS,NK,362.94,2552.08,97180,37
ORD,BOS,DL,267.29,2552.08,68389,458
ORD,LAS,UA,350.55,2570.0,80047,47
ORD,LAS,DL,349.79,2570.0,32153,52
ORD,PHX,DL,134.79,1130.19,23871,261
ORD,PHX,UA,199.88,1130.19,111943,81
ORD,PHX,NK,195.95,1130.19,105733,367
ORD,IAH,UA,250.21,1862.1,94992,51
ORD,MCO,F9,175.9,990.78,4426,15
ORD,MCO,DL,175.28,990.78,102742,350
ORD,MCO,AS,174.94,990.78,91055,424
ORD,EWR,DL,243.55,1106.24,106402,51
ORD,MSP,WN,307.08,1501.95,58037,285
ORD,DTW,AA,262.33,2171.18,94770,190
ORD,DTW,NK,296.7,2171.18,41505,68
ORD,DTW,AS,376.94,2171.18,104661,340
ORD,PHL,B6,191.98,512.6,79188,286
ORD,PHL,UA,159.73,512.6,62992,277
ORD,PHL,DL,200.43,512.6,119808,87
ORD,LGA,B6,228.29,1854.14,50234,269
ORD,LGA,F9,228.12,1854.14,57475,32
ORD,CLT,AA,215.1,1244.74,12124,274
ORD,CLT,F9,233.59,1244.74,36555,217
ORD,CLT,AS,237.2,1244.74,50008,130
ORD,CLT,UA,191.83,1244.74,54629,147
ORD,CLT,DL,200.45,1244.74,67567,174
DFW,ATL,AA,387.32,2353.95,49694,292
DFW,ATL,UA,272.56,2353.95,94123,250
DFW,ATL,NK,333.64,2353.95,7451,133
DFW,LAX,F9,405.03,2230.92,112718,104
DFW,LAX,B6,267.04,2230.92,16984,147
DFW,LAX,UA,264.22,2230.92,105618,72
DFW,LAX,AA,319.52,2230.92,113910,437
DFW,ORD,DL,270.41,1863.95,112821,290
DFW,ORD,B6,252.9,1863.95,62581,486
DFW,ORD,NK,254.97,1863.95,33138,203
DFW,ORD,AA,284.89,1863.95,94633,280
DFW,ORD,UA,200.56,1863.95,85400,147
DFW,DEN,UA,175.9,463.83,81643,381
DFW,DEN,AS,163.84,463.83,22896,340
DFW,JFK,NK,186.3,351.77,99653,198
DFW,JFK,UA,186.96,351.77,95166,280
DFW,JFK,DL,145.84,351.77,56977,168
DFW,SFO,DL,286.75,2355.09,83289,191
DFW,SFO,WN,284.41,2355.09,98842,158
DFW,SFO,AA,356.43,2355.09,114044,105
DFW,MIA,WN,192.58,1149.83,39013,453
DFW,MIA,AS,250.36,1149.83,119963,352
DFW,MIA,NK,222.48,1149.83,11589,167
DFW,MIA,UA,257.12,1149.83,54395,451
DFW,SEA,AA,315.41,2126.95,73387,275
DFW,SEA,NK,333.67,2126.95,23890,151
DFW,SEA,DL,319.27,2126.95,43957,78
DFW,BOS,AA,190.93,393.85,8039,159
DFW,BOS,AS,132.88,393.85,31802,120
DFW,BOS,NK,189.21,393.85,27885,431
DFW,BOS,UA,132.12,393.85,47038,279
DFW,LAS,AS,223.49,1286.8,19035,56
DFW,LAS,F9,214.7,1286.8,12896,242
DFW,LAS,AA,191.95,1286.8,69471,459
DFW,PHX,AA,195.64,1816.14,78267,357
DFW,IAH,F9,135.46,636.77,30085,218
DFW,IAH,DL,135.09,636.77,112542,49
DFW,MCO,F9,234.89,2196.0,51531,266
DFW,EWR,AA,384.02,2350.87,4353,181
DFW,EWR,F9,353.97,2350.87,102556,291
DFW,EWR,DL,428.2,2350.87,17265,278
DFW,EWR,AS,324.0,2350.87,2219,203
DFW,MSP,F9,328.23,1543.38,108377,71
DFW,MSP,AS,319.18,1543.38,95498,479
DFW,MSP,NK,315.92,1543.38,902,358
DFW,DTW,NK,203.36,1824.36,116614,169
DFW,DTW,UA,204.95,1824.36,79627,73
DFW,PHL,B6,215.46,878.37,45451,310
DFW,PHL,AA,208.25,878.37,18757,218
DFW,PHL,F9,156.47,878.37,26020,380
DFW,PHL,UA,224.61,878.37,21167,320
DFW,PHL,DL,186.1,878.37,79400,47
DFW,LGA,F9,176.3,1137.98,12588,28
DFW,LGA,UA,222.94,1137.98,91649,384
DFW,CLT,UA,231.96,1318.12,109235,20
DFW,CLT,B6,282.11,1318.12,102476,131
DFW,CLT,NK,299.04,1318.12,65036,229
DEN,ATL,AA,140.44,591.28,102776,490
DEN,ATL,B6,146.02,591.28,6025,457
DEN,ATL,AS,121.71,591.28,7759,114
DEN,ATL,F9,114.27,591.28,47859,462
DEN,LAX,DL,215.41,2012.27,98169,497
DEN,LAX,NK,281.32,2012.27,23504,140
DEN,LAX,AA,230.58,2012.27,118136,36
DEN,LAX,WN,241.19,2012.27,107637,291
DEN,LAX,F9,241.95,2012.27,24539,65
DEN,ORD,F9,284.52,1852.95,109472,393
DEN,ORD,WN,261.94,1852.95,5787,165
DEN,ORD,B6,328.91,1852.95,117987,416
DEN,ORD,DL,394.65,1852.95,69681,409
DEN,DFW,AS,243.1,893.56,72627,280
DEN,DFW,UA,208.85,893.56,18390,118
DEN,JFK,AS,241.07,2109.64,87928,363
DEN,JFK,B6,197.95,2109.64,91459,430
DEN,SFO,AS,423.87,2782.98,8998,156
DEN,MIA,UA,245.12,1757.25,99619,303
DEN,MIA,AA,283.57,1757.25,82259,225
DEN,MIA,AS,248.09,1757.25,100983,423
DEN,MIA,WN,275.43,1757.25,49765,346
DEN,MIA,F9,271.04,1757.25,39351,338
DEN,SEA,F9,257.67,1638.16,50844,301
DEN,SEA,AA,201.24,1638.16,33032,299
DEN,SEA,B6,218.23,1638.16,13993,405
DEN,SEA,UA,286.53,1638.16,66093,301
DEN,SEA,DL,275.58,1638.16,81605,448
DEN,BOS,UA,214.0,570.89,106285,160
DEN,BOS,DL,154.02,570.89,102805,230
DEN,LAS,AA,383.44,2775.06,52665,244
DEN,LAS,WN,345.35,2775.06,100611,466
DEN,LAS,B6,383.73,2775.06,4500,99
DEN,LAS,F9,310.81,2775.06,98709,297
DEN,PHX,WN,317.28,1975.37,47922,470
DEN,PHX,UA,245.13,1975.37,68684,469
DEN,IAH,AA,481.29,2700.05,15940,471
DEN,IAH,NK,403.86,2700.05,91613,232
DEN,IAH,UA,303.87,2700.05,45240,421
DEN,IAH,F9,444.46,2700.05,111776,217
DEN,IAH,AS,440.55,2700.05,77899,288
DEN,MCO,NK,225.31,965.1,50626,186
DEN,MCO,AS,231.27,965.1,53836,482
DEN,EWR,AA,271.95,1504.82,88581,461
DEN,EWR,B6,264.77,1504.82,19599,423
DEN,MSP,AS,360.51,2408.27,52754,133
DEN,MSP,B6,403.41,2408.27,77519,169
DEN,MSP,UA,355.05,2408.27,111880,330
DEN,MSP,AA,276.18,2408.27,118332,25
DEN,MSP,F9,430.84,2408.27,109621,254
DEN,DTW,AA,272.21,1969.29,79194,463
DEN,DTW,F9,227.35,1969.29,51524,38
DEN,PHL,NK,176.76,1559.75,88097,323
DEN,LGA,AA,156.41,1237.98,85472,160
DEN,LGA,F9,183.65,1237.98,83057,449
DEN,LGA,NK,159.91,1237.98,97195,242
DEN,CLT,UA,194.5,789.75,58606,331
DEN,CLT,NK,143.16,789.75,19328,198
DEN,CLT,AS,194.1,789.75,29402,148
DEN,CLT,B6,216.5,789.75,2704,235
JFK,ATL,B6,323.47,2085.79,18814,400
JFK,ATL,WN,279.75,2085.79,113617,76
JFK,ATL,DL,241.59,2085.79,78659,19
JFK,ATL,AA,333.57,2085.79,73305,391
JFK,LAX,F9,341.32,1713.55,9254,144
JFK,LAX,WN,287.75,1713.55,3479,278
JFK,LAX,AA,307.38,1713.55,88925,44
JFK,LAX,DL,259.1,1713.55,26094,242
JFK,ORD,DL,404.86,2685.48,94205,113
JFK,ORD,F9,402.5,2685.48,45685,215
JFK,DFW,F9,186.52,1661.71,1894,470
JFK,DEN,DL,193.44,1807.32,15261,226
JFK,DEN,AA,257.92,1807.32,31691,352
JFK,SFO,UA,247.65,1665.28,49780,121
JFK,SFO,WN,240.9,1665.28,59153,351
JFK,SFO,NK,272.9,1665.28,71958,145
JFK,MIA,AA,174.65,419.46,39037,428
JFK,MIA,AS,168.1,419.46,12888,155
JFK,MIA,DL,151.99,419.46,7433,114
JFK,MIA,B6,153.12,419.46,89897,62
JFK,MIA,UA,171.35,419.46,52713,65
JFK,SEA,F9,396.16,2277.34,22823,48
JFK,SEA,AS,383.37,2277.34,2336,337
JFK,BOS,F9,295.18,2535.67,108938,331
JFK,LAS,B6,347.85,2626.46,75541,386
JFK,LAS,F9,338.97,2626.46,109256,384
JFK,PHX,F9,375.73,2491.61,23728,173
JFK,PHX,DL,285.57,2491.61,54033,127
JFK,PHX,WN,411.97,2491.61,75528,388
JFK,PHX,NK,366.84,2491.61,3503,369
JFK,PHX,B6,375.92,2491.61,77650,335
JFK,IAH,NK,241.28,1495.8,113340,130
JFK,IAH,AS,190.6,1495.8,118505,409
JFK,IAH,AA,166.03,1495.8,106354,415
JFK,IAH,WN,186.8,1495.8,2526,11
JFK,MCO,UA,198.09,751.12,43477,54
JFK,MCO,AA,198.51,751.12,52058,347
JFK,MCO,AS,140.67,751.12,48477,181
JFK,MCO,DL,225.53,751.12,71157,489
JFK,EWR,B6,192.8,1312.34,10050,404
JFK,MSP,DL,187.6,646.86,60363,498
JFK,MSP,B6,171.87,646.86,5668,283
JFK,DTW,WN,296.18,1822.4,72160,497
JFK,DTW,F9,207.23,1822.4,21253,480
JFK,DTW,B6,294.12,1822.4,5452,418
JFK,PHL,WN,302.06,1955.78,94765,364
JFK,LGA,B6,231.89,1045.34,111404,272
JFK,LGA,AS,221.37,1045.34,73053,341
JFK,LGA,DL,187.02,1045.34,11511,241
JFK,CLT,F9,185.91,1192.34,117835,239
JFK,CLT,NK,180.15,1192.34,51683,286
JFK,CLT,AA,223.03,1192.34,101308,105
JFK,CLT,WN,219.72,1192.34,3936,241
JFK,CLT,AS,171.73,1192.34,36531,49
SFO,ATL,DL,226.33,1826.08,71537,329
SFO,ATL,AS,325.32,1826.08,75813,268
SFO,ATL,NK,299.87,1826.08,65672,88
SFO,ATL,WN,314.81,1826.08,110213,173
SFO,ATL,B6,281.54,1826.08,68148,262
SFO,LAX,AS,205.78,2003.91,84851,330
SFO,ORD,AS,390.37,2038.75,87475,194
SFO,ORD,AA,405.98,2038.75,99533,205
SFO,DFW,AS,118.9,376.59,37147,100
SFO,DFW,F9,111.61,376.59,102523,446
SFO,DFW,WN,88.86,376.59,49590,103
SFO,DFW,B6,94.8,376.59,69127,313
SFO,DFW,AA,85.43,376.59,52151,190
SFO,DEN,B6,277.9,2008.81,111484,210
SFO,DEN,DL,366.67,2008.81,109330,453
SFO,DEN,AS,319.07,2008.81,26002,471
SFO,DEN,NK,376.8,2008.81,75551,184
SFO,DEN,F9,262.31,2008.81,53571,50
SFO,JFK,UA,406.56,2106.05,23817,185
SFO,JFK,B6,285.87,2106.05,51497,304
SFO,JFK,F9,324.03,2106.05,23025,311
SFO,MIA,WN,226.86,1624.35,49003,450
SFO,MIA,UA,227.39,1624.35,66623,373
SFO,SEA,AS,302.03,1597.34,111927,18
SFO,SEA,UA,268.69,1597.34,80438,259
SFO,SEA,AA,319.01,1597.34,101819,432
SFO,SEA,WN,255.23,1597.34,34802,109
SFO,BOS,DL,230.58,2360.82,109603,256
SFO,BOS,AS,280.52,2360.82,79012,34
SFO,BOS,B6,285.54,2360.82,26602,370
SFO,LAS,WN,123.17,515.03,52211,176
SFO,LAS,UA,132.6,515.03,38989,177
SFO,LAS,AA,124.47,515.03,108975,64
SFO,PHX,UA,244.6,1848.45,55482,443
SFO,PHX,F9,200.0,1848.45,69250,418
SFO,IAH,F9,119.4,340.14,111466,452
SFO,IAH,NK,163.94,340.14,84820,155
SFO,IAH,UA,163.26,340.14,101393,28
SFO,IAH,AA,133.33,340.14,102255,243
SFO,MCO,DL,229.87,1482.22,96510,397
SFO,MCO,AS,151.69,1482.22,63154,194
SFO,MCO,B6,173.24,1482.22,17509,273
SFO,MCO,NK,203.71,1482.22,69546,402
SFO,EWR,NK,401.02,2637.93,106588,223
SFO,EWR,DL,431.35,2637.93,8150,452
SFO,EWR,F9,368.57,2637.93,101808,222
SFO,MSP,F9,166.27,645.55,67374,389
SFO,MSP,UA,194.76,645.55,117569,287
SFO,MSP,NK,166.46,645.55,83360,311
SFO,MSP,DL,220.1,645.55,55807,417
SFO,DTW,B6,165.18,622.24,119839,52
SFO,DTW,DL,220.4,622.24,106985,180
SFO,DTW,F9,166.86,622.24,3828,445
SFO,PHL,AA,177.78,407.19,49324,310
SFO,LGA,DL,240.29,627.82,116247,69
SFO,LGA,F9,178.6,627.82,105267,172
SFO,CLT,WN,115.47,313.92,4928,334
MIA,ATL,UA,245.89,1058.16,69285,207
MIA,ATL,AS,246.23,1058.16,77365,376
MIA,ATL,AA,193.45,1058.16,64807,445
MIA,ATL,F9,287.33,1058.16,90986,123
MIA,LAX,F9,203.4,1907.86,1334,443
MIA,LAX,AS,303.95,1907.86,68043,370
MIA,LAX,WN,296.24,1907.86,22481,157
MIA,LAX,UA,299.82,1907.86,27913,45
MIA,ORD,WN,224.4,2142.62,8746,320
MIA,ORD,NK,322.19,2142.62,19271,340
MIA,ORD,DL,289.47,2142.62,1428,329
MIA,ORD,B6,215.65,2142.62,12637,388
MIA,ORD,AA,323.08,2142.62,1563,276
MIA,DFW,NK,211.99,1523.84,72949,22
MIA,DFW,UA,181.36,1523.84,70297,251
MIA,DEN,DL,345.81,2267.31,63424,143
MIA,DEN,AS,431.08,2267.31,98388,297
MIA,DEN,WN,312.53,2267.31,82778,79
MIA,DEN,F9,293.96,2267.31,50164,302
MIA,JFK,AS,139.17,656.11,107542,352
MIA,SFO,NK,341.31,2123.89,72507,377
MIA,SFO,AS,353.94,2123.89,58110,340
MIA,SFO,B6,245.45,2123.89,61942,244
MIA,SFO,DL,250.91,2123.89,90609,236
MIA,SEA,UA,276.17,2615.22,23115,499
MIA,SEA,NK,394.88,2615.22,74801,119
MIA,BOS,UA,264.72,2298.51,77200,165
MIA,BOS,AA,340.21,2298.51,31468,83
MIA,BOS,AS,394.5,2298.51,31492,176
MIA,BOS,WN,310.28,2298.51,86131,135
MIA,LAS,WN,221.82,1344.69,84989,390
MIA,LAS,UA,225.05,1344.69,116171,92
MIA,LAS,B6,214.3,1344.69,106437,136
MIA,LAS,NK,233.43,1344.69,3063,143
MIA,LAS,AS,199.33,1344.69,113934,425
MIA,PHX,DL,272.5,2362.17,58013,302
MIA,PHX,F9,346.88,2362.17,23349,92
MIA,PHX,WN,328.34,2362.17,7766,351
MIA,PHX,B6,373.36,2362.17,118605,398
MIA,IAH,F9,337.68,2069.8,18624,295
MIA,IAH,AS,285.54,2069.8,68519,86
MIA,IAH,AA,373.74,2069.8,4180,395
MIA,IAH,DL,268.76,2069.8,13417,196
MIA,IAH,WN,360.86,2069.8,52552,381
MIA,MCO,WN,230.77,733.17,35274,260
MIA,EWR,F9,202.65,1173.28,97490,459
MIA,EWR,B6,197.88,1173.28,49284,192
MIA,EWR,NK,160.3,1173.28,24703,283
MIA,EWR,AS,220.31,1173.28,52187,418
MIA,EWR,WN,220.15,1173.28,110319,414
MIA,MSP,WN,213.05,343.34,31470,340
MIA,DTW,AS,133.0,573.7,109969,498
MIA,PHL,DL,368.93,2247.36,22451,383
MIA,PHL,AA,364.28,2247.36,77423,349
MIA,LGA,DL,232.16,1056.98,86188,271
MIA,CLT,AA,346.96,2358.12,76069,250
MIA,CLT,B6,311.65,2358.12,11332,313
SEA,ATL,DL,195.77,1294.55,96412,116
SEA,ATL,B6,192.0,1294.55,21131,361
SEA,ATL,AA,286.1,1294.55,92303,219
SEA,ATL,F9,262.92,1294.55,61652,81
SEA,LAX,DL,240.62,1814.59,12196,205
SEA,ORD,DL,146.83,602.39,59022,185
SEA,ORD,F9,198.14,602.39,87232,280
SEA,ORD,NK,172.35,602.39,100108,137
SEA,ORD,AA,213.61,602.39,26445,392
SEA,DFW,AA,221.08,1729.71,44712,16
SEA,DFW,UA,217.47,1729.71,87051,343
SEA,DEN,DL,149.05,740.34,3476,359
SEA,DEN,F9,138.79,740.34,52245,81
SEA,DEN,UA,153.42,740.34,44691,305
SEA,JFK,UA,185.5,1016.78,110599,109
SEA,JFK,DL,187.31,1016.78,92332,189
SEA,JFK,B6,151.61,1016.78,95078,414
SEA,SFO,AA,300.95,2313.41,87918,186
SEA,MIA,F9,76.99,342.72,59971,151
SEA,MIA,NK,90.66,342.72,25502,193
SEA,BOS,AS,211.77,2206.43,111431,492
SEA,BOS,B6,323.84,2206.43,10323,408
SEA,BOS,UA,211.58,2206.43,20969,256
SEA,BOS,WN,263.23,2206.43,7553,195
SEA,BOS,F9,229.33,2206.43,81011,128
SEA,LAS,F9,245.41,1407.79,11690,451
SEA,LAS,UA,196.02,1407.79,77938,126
SEA,LAS,AA,208.59,1407.79,17537,154
SEA,LAS,DL,271.86,1407.79,70105,471
SEA,LAS,AS,234.68,1407.79,14529,143
SEA,PHX,AA,289.25,2053.0,4744,73
SEA,PHX,DL,346.55,2053.0,2709,474
SEA,IAH,F9,267.08,1221.42,40904,199
SEA,IAH,B6,263.14,1221.42,58540,408
SEA,IAH,AS,236.93,1221.42,46117,227
SEA,IAH,WN,212.96,1221.42,111059,136
SEA,MCO,F9,183.79,642.15,61021,66
SEA,MCO,NK,194.7,642.15,6283,403
SEA,MCO,AA,216.59,642.15,16033,273
SEA,EWR,AA,234.67,818.05,97058,293
SEA,MSP,DL,245.88,1296.6,12293,226
SEA,MSP,WN,193.34,1296.6,68169,16
SEA,DTW,DL,179.22,568.51,114327,185
SEA,DTW,NK,128.31,568.51,92814,53
SEA,DTW,AS,162.88,568.51,26122,219
SEA,DTW,UA,131.46,568.51,59870,37
SEA,DTW,WN,178.66,568.51,61048,180
SEA,PHL,AA,364.98,2332.49,70059,261
SEA,LGA,WN,145.36,737.45,3749,232
SEA,LGA,NK,175.15,737.45,24319,450
SEA,LGA,F9,204.57,737.45,69722,238
SEA,CLT,NK,91.39,374.21,1216,353
SEA,CLT,B6,116.84,374.21,105836,112
SEA,CLT,UA,94.65,374.21,80055,431
SEA,CLT,WN,119.07,374.21,106650,235
BOS,ATL,NK,224.09,2357.98,77196,133
BOS,ATL,WN,234.07,2357.98,109380,447
BOS,ATL,F9,218.01,2357.98,62759,39
BOS,LAX,NK,204.04,550.42,82660,396
BOS,LAX,WN,223.22,550.42,9388,35
BOS,LAX,F9,203.96,550.42,59080,351
BOS,ORD,DL,288.54,2172.56,31426,492
BOS,ORD,UA,224.48,2172.56,72856,376
BOS,ORD,AA,317.26,2172.56,74283,449
BOS,ORD,AS,300.27,2172.56,93234,148
BOS,DFW,AA,284.18,2261.14,80527,29
BOS,DFW,UA,281.71,2261.14,106384,341
BOS,DFW,DL,282.77,2261.14,109306,264
BOS,DFW,F9,306.63,2261.14,52273,280
BOS,DFW,NK,288.04,2261.14,65095,341
BOS,DEN,WN,266.4,1458.12,16265,205
BOS,JFK,B6,160.59,671.1,6936,302
BOS,JFK,AA,142.36,671.1,35387,435
BOS,JFK,WN,181.94,671.1,23332,233
BOS,JFK,AS,139.48,671.1,24488,362
BOS,JFK,NK,174.82,671.1,68052,314
BOS,SFO,DL,332.22,2317.53,108312,94
BOS,SFO,B6,268.68,2317.53,116292,499
BOS,SFO,WN,230.15,2317.53,87049,119
BOS,MIA,AA,228.77,2410.63,54336,91
BOS,MIA,B6,313.15,2410.63,87106,24
BOS,MIA,WN,332.21,2410.63,83183,331
BOS,MIA,NK,234.32,2410.63,34512,486
BOS,SEA,DL,464.27,2552.08,11444,21
BOS,SEA,F9,439.09,2552.08,96307,267
BOS,SEA,UA,394.28,2552.08,82545,158
BOS,SEA,B6,379.96,2552.08,87202,427
BOS,SEA,WN,441.81,2552.08,108024,289
BOS,LAS,B6,153.95,701.79,115866,277
BOS,LAS,UA,144.9,701.79,67758,129
BOS,LAS,F9,160.12,701.79,75353,269
BOS,LAS,DL,126.32,701.79,49494,15
BOS,PHX,UA,169.41,1346.97,87870,441
BOS,PHX,AA,244.27,1346.97,24070,204
BOS,PHX,NK,168.55,1346.97,74349,314
BOS,PHX,F9,169.19,1346.97,53352,341
BOS,PHX,AS,168.44,1346.97,88053,90
BOS,IAH,F9,263.18,1799.75,118964,247
BOS,IAH,AS,294.13,1799.75,95685,306
BOS,IAH,B6,316.39,1799.75,88354,254
BOS,IAH,UA,279.52,1799.75,87608,146
BOS,IAH,DL,273.7,1799.75,6153,127
BOS,MCO,B6,291.92,2561.8,76649,191
BOS,EWR,AA,171.49,742.57,117647,293
BOS,EWR,WN,129.88,742.57,73662,380
